REGION,STATE,COUNTY,PRETBRPCT
5,Illinois,Clinton County,11.2
5,Illinois,Coles County,10.5
5,Illinois,Cook County,10.6
5,Illinois,Crawford County,12.1
5,Illinois,Cumberland County,10.8
5,Illinois,DeKalb County,10.5
5,Illinois,De Witt County,10.7
5,Illinois,Douglas County,10.6
5,Illinois,DuPage County,9.3
5,Illinois,Edgar County,12
5,Illinois,Edwards County,11.3
5,Illinois,Effingham County,11.1
5,Illinois,Fayette County,10.3
5,Illinois,Ford County,11
5,Illinois,Franklin County,10.5
5,Illinois,Fulton County,11.4
5,Illinois,Gallatin County,11.7
5,Illinois,Greene County,11.8
5,Illinois,Grundy County,10.5
5,Illinois,Hamilton County,10.8
5,Illinois,Hancock County,11
5,Illinois,Hardin County,11.3
5,Illinois,Henderson County,10.4
5,Illinois,Henry County,9.5
5,Illinois,Iroquois County,11.5
5,Illinois,Jackson County,10.4
5,Illinois,Jasper County,11.7
5,Illinois,Jefferson County,11.3
5,Illinois,Jersey County,9.6
5,Illinois,Jo Daviess County,9.2
5,Illinois,Johnson County,10.4
5,Illinois,Kane County,10.7
5,Illinois,Kankakee County,10.7
5,Illinois,Kendall County,10
5,Illinois,Knox County,10.6
5,Illinois,Lake County,9.9
5,Illinois,LaSalle County,10.2
5,Illinois,Lawrence County,12.6
5,Illinois,Lee County,9.7
5,Illinois,Livingston County,10.3
5,Illinois,Logan County,11.1
5,Illinois,McDonough County,10.8
5,Illinois,McHenry County,9.8
5,Illinois,McLean County,10.2
5,Illinois,Macon County,11.9
5,Illinois,Macoupin County,12.5
5,Illinois,Madison County,11
5,Illinois,Marion County,11.9
5,Illinois,Marshall County,9.8
5,Illinois,Mason County,10.2
5,Illinois,Massac County,10.8
5,Illinois,Menard County,12.3
5,Illinois,Mercer County,10.5
5,Illinois,Monroe County,11.9
5,Illinois,Montgomery County,11.8
5,Illinois,Morgan County,13.4
5,Illinois,Moultrie County,11
5,Illinois,Ogle County,10.7
5,Illinois,Peoria County,12.7
5,Illinois,Perry County,10.3
5,Illinois,Piatt County,10.7
5,Illinois,Pike County,11.6
5,Illinois,Pope County,10.1
5,Illinois,Pulaski County,11
5,Illinois,Putnam County,9.6
