COUNTY,STABRV,FIPS,BIRTHS,TOTPOP,BIRTHRATE,RPRAFEM,FERTRATE
Lake County,OH,39085,2092,232023,9.02,40435,51.74
Licking County,OH,39089,1928,180401,10.69,33557,57.45
Lorain County,OH,39093,3211,315595,10.17,55652,57.7
Lucas County,OH,39095,4956,429191,11.55,83760,59.17
Mahoning County,OH,39099,2349,226762,10.36,38840,60.48
Medina County,OH,39103,1746,183092,9.54,31681,55.11
Miami County,OH,39109,1160,109264,10.62,19141,60.6
Montgomery County,OH,39113,6117,535840,11.42,104632,58.46
Portage County,OH,39133,1378,162382,8.49,34338,40.13
Richland County,OH,39139,1407,125195,11.24,20839,67.52
Stark County,OH,39151,3962,373834,10.6,67365,58.81
Summit County,OH,39153,5473,537633,10.18,100691,54.35
Trumbull County,OH,39155,1958,201335,9.73,33862,57.82
Warren County,OH,39165,2418,246553,9.81,44575,54.25
Wayne County,OH,39169,1401,116710,12,20947,66.88
Wood County,OH,39173,1301,132472,9.82,29031,44.81
Unidentified Counties,OH,39999,29298,2688753,10.9,471047,62.2
Canadian County,OK,40017,1993,161737,12.32,33693,59.15
Cleveland County,OK,40027,2702,297597,9.08,66687,40.52
Comanche County,OK,40031,1588,122063,13.01,24724,64.23
Oklahoma County,OK,40109,11024,798575,13.8,167222,65.92
Tulsa County,OK,40143,8658,672858,12.87,136969,63.21
Unidentified Counties,OK,40999,22445,1933809,11.61,357602,62.77
Clackamas County,OR,41005,3766,422537,8.91,77807,48.4
Deschutes County,OR,41017,1951,204801,9.53,37684,51.77
Douglas County,OR,41019,1026,111978,9.16,17790,57.67
Jackson County,OR,41029,2238,223734,10,39942,56.03
Lane County,OR,41039,3159,383189,8.24,78242,40.37
Linn County,OR,41043,1433,129839,11.04,24334,58.89
Marion County,OR,41047,3894,347119,11.22,67787,57.44
Multnomah County,OR,41051,7602,803377,9.46,184913,41.11
Washington County,OR,41067,6231,600811,10.37,126817,49.13
Unidentified Counties,OR,41999,9614,1018770,9.44,180563,53.24
Adams County,PA,42001,954,104127,9.16,17796,53.61
Allegheny County,PA,42003,12407,1238090,10.02,242991,51.06
